#,Name,Comments 1,Quarter,Down,Distance,Field Position,P/10,SY/GL,Red Area,Drive #,Drive Play #,Gain,R/P,Hash,Personnel,Backfield,Formation,Form Var,Motion,Starting Form,FIB,Endover,Form Adj Reduce,Y Location,Pass Concept,Pass Result,Run Concept,Run Strength,Play Type,Proctection,Front,Front Type,Stunt,Pressure Type,Coverage,2M/4M,BC/REC,QB,RB,TE,WR,Tempo,pff_OFFPERSONNELBASIC,pff_RUNPASS,pff_DRIVEPLAY,pff_HASHDEF,pff_PREVIOUSGAINLOSS,pff_GAINLOSS,pff_SCREEN,pff_QUICKGAME,pff_RUNCONCEPT3,pff_RUNCONCEPTPRIMARY,pff_PENALTY,pff_TOUCHDOWN,pff_TRICKLOOK,pff_TRICKPLAY,pff_TEMPO,pff_2MINUTE,pff_GARBAGETIME,pff_BALLCARRIER,pff_QB,pff_RBS,pff_WRS,pff_TES,pff_FRONTTYPE,pff_OFFFORMATIONGROUP,pff_RUNPASSOPTION,pff_PREVIOUSRUNPASS,pff_PASSRECEIVERTARGET,pff_BLITZDOG,pff_PASSCOVERAGEBASIC
99,"2511 UAB O vs USF, Play 016",,1,1,10,'-35,1,,,3,4,1,R,L,12,DOT,ACE YU OFF,,,,,,,OFF,,,IZ,STR,ZN,,,4 DWN,,,,0,ALBI 03,ALBI 07,3,17; 85,00; 08,0,12,R,,L,16,1,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 03,ALBI 07,03,00; 08,17; 85,WIDE OVER,2x2,0,R,,0,COVER 3 SEAM
100,"2511 UAB O vs USF, Play 017",,1,2,9,'-36,2,,,3,5,24,P,L,12,GF,KING U OFF,STK,,,,,X,SLOT,NOW SCR,COMPLETE,,,RPO,GAP,,4 DWN,,,,0,ALBI 00,ALBI 07,3,17; 85,00; 06,0,12,P,,L,1,24,1,0,,COUNTER,,,0,0,0,0,0,ALBI 00,ALBI 07,03,00; 06,17; 85,WIDE UNDER,3x1,1,R,ALBI 00,1,COVER 3
101,"2511 UAB O vs USF, Play 018",,1,1,10,'+40,1,,,3,6,6,R,R,11,GF,DUO Y OFF,,,,,,,OFF,,,ZONE READ ARC,STR,ZN,,,4 DWN,,,,0,ALBI 07,ALBI 07,3,17,00; 06; 12,0,11,R,,R,24,6,0,,,INSIDE ZONE,FLSO D05 UNRd; FLSO D05 UNSd,,0,0,0,0,0,ALBI 07,ALBI 07,03,00; 06; 12,17,ONE INTERIOR,2x2,0,P,,0,COVER 1
102,"2511 UAB O vs USF, Play 019",,1,1,9,'+9,1,,RA,3,7,3,R,L,21,PSTL FR,PRO TWINS,,,,,,,ON,,,IZ,WK,ZN,,,4 DWN,,,,0,ALBI 04,ALBI 15,03; 04,17,00; 06,0,21,R,,L,6,3,0,,,MAN,,,0,0,0,0,0,ALBI 04,ALBI 15,03; 04,00; 06,17,OVER,2x1,1,R,,0,RED ZONE
103,"2511 UAB O vs USF, Play 020",,1,2,6,'+6,2,,RA,3,8,6,R,LM,12,GF,KING U OFF FIB,,,,X,,,SLOT,,,IZ,STR,ZN,,,4 DWN,,,,0,ALBI 03,ALBI 15,3,17; 85,00; 06,0,12,R,,C,3,6,0,,,INSIDE ZONE,,ALBI 03,0,0,0,0,0,ALBI 03,ALBI 15,03,00; 06,17; 85,UNDER,1x3,1,R,,0,RED ZONE
104,"2511 UAB O vs USF, Play 021",,2,0,10,'-29,P,,,4,1,2,R,R,11,GN,DUO Y OFF,,X MTR,,,,,OFF,,,IZ,WK,ZN,,,4 DWN,,,,0,ALBI 04,ALBI 07,4,85,00; 06; 12,0,11,R,,R,38,2,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 04,ALBI 07,04,00; 06; 12,85,UNDER,2x2,0,,,0,COVER 4
105,"2511 UAB O vs USF, Play 022",,2,2,8,'-31,2,,,4,2,7,R,R,21,PSTL NR,PRO TWINS,,,,,,,ON,,,IZ,STR,ZN,,,4 DWN,,,,0,ALBI 04,ALBI 07,03; 04,85,00; 06,0,21,R,,R,2,7,0,,,MAN,,,0,0,0,0,0,ALBI 04,ALBI 07,03; 04,00; 06,85,WIDE OVER,1x2,1,R,,0,COVER 2
106,"2511 UAB O vs USF, Play 023",,2,3,1,'-38,3,SY,,4,3,3,R,R,22,DEMP,EMPTY 3x2 Z STING BUNCH,,,,,,X,ON,,,QB SNEAK,,S,,,4 DWN,,,,0,ALBI 07,ALBI 07,03; 04,17; 85,6,0,22,R,,R,7,3,0,,,SNEAK,,,0,0,0,0,0,ALBI 07,ALBI 07,03; 04,06,17; 85,ODD,2x3,0,R,,0,COVER 3
107,"2511 UAB O vs USF, Play 024",,2,1,10,'-41,1,,,4,4,1,R,R,21,GS,PRO Y OFF,,,,,,,OFF,,,CTR CY,WK,GAP,,,4 DWN,,,,0,ALBI 03,ALBI 07,03; 11,17,00; 06,0,21,R,,R,3,1,0,,,COUNTER,,,0,0,0,0,0,ALBI 03,ALBI 07,03; 11,00; 06,17,WIDE OVER,1x2,1,R,,0,COVER 3 SEAM
108,"2511 UAB O vs USF, Play 025",,2,2,9,'-42,2,,,4,5,1,R,R,12,GF,TRIPS,,U OUT,,,,,ON/OPEN,,,OZ,STR,ZN,,,4 DWN,,,,0,ALBI 11,ALBI 07,11,17; 85,00; 06,0,12,R,,R,1,1,0,,,OUTSIDE ZONE,,,0,0,0,0,0,ALBI 11,ALBI 07,11,00; 06,17; 85,WIDE OVER,1x3,1,R,,0,COVER 1
